id,host_id,latitude,longitude,first_review,last_review,calculated_host_listings_count,availability_365
10781986,55780640,39.826260597027201,3.0063242226297442,1462658400,1474149600,1,284
3736835,8864750,39.904134924153077,3.0804790259068411,1408399200,1479510000,64,261
11666555,3625030,39.896662424093606,3.0760386725657307,0,0,752,138
5408769,25947065,39.877631541855848,3.0402736919306164,1425769200,1487545200,1,260
14812269,56582306,39.898639528818507,3.0784313614762318,0,0,12,175
6424264,23405853,39.894183063128523,3.077293808941445,1436565600,1489359600,7,199
16713399,106690357,39.912842995865738,3.0946901378328504,0,0,36,199
13746093,3893191,39.897246690724074,3.0753296886414216,0,0,135,244
15893101,92932776,39.906311196911858,3.0762148800900184,1486422000,1486422000,15,215
17138270,31056689,39.891357838622419,3.0156567876308573,0,0,2,51
11272738,27510828,39.910245635082958,3.0730662375665982,0,0,6,310
6701738,22603827,39.878323588284417,3.0160560545840012,1438898400,1438898400,13,307
17629645,98002653,39.874442881414133,2.9940438168088459,0,0,2,148
16094619,95399526,39.898907865204784,3.0384690001744761,0,0,25,251
9142652,24926928,39.873857713199065,3.0124988504670687,1463522400,1466028000,35,245
12845407,25548640,39.852416665898474,3.0356089524141532,1470434400,1470434400,15,365
11666818,3625030,39.872140833235967,3.0313138647676574,1468447200,1469656800,752,293
15402366,13894653,39.861188970306259,3.0263106924859886,0,0,22,240
