listing_id,date
7786814,2016-05-14
7786814,2016-05-23
7786814,2016-07-11
7786814,2016-07-20
7786814,2016-07-27
7786814,2016-08-25
7786814,2016-08-30
7786814,2016-09-06
7786814,2016-09-19
7786814,2016-09-30
7786814,2016-10-15
7786814,2016-10-31
11856963,2016-09-11
11771138,2016-07-31
11771138,2017-01-05
13308112,2016-08-12
13308112,2017-02-02
9787576,2016-06-12
9787576,2016-07-31
9787576,2016-09-24
71710,2013-08-28
71710,2013-10-15
71710,2014-05-21
71710,2014-07-07
71710,2014-08-06
71710,2014-08-12
71710,2014-08-15
71710,2014-08-25
71710,2014-09-03
71710,2014-09-12
71710,2014-09-25
71710,2014-10-03
71710,2015-04-03
71710,2015-04-26
71710,2015-04-28
71710,2015-06-04
71710,2015-07-18
71710,2015-07-25
71710,2015-08-11
71710,2015-08-15
71710,2015-08-16
71710,2015-08-18
71710,2015-08-26
71710,2015-08-27
71710,2015-09-20
71710,2015-09-25
71710,2015-11-21
71710,2016-03-23
71710,2016-03-24
71710,2016-04-01
71710,2016-04-18
71710,2016-07-15
71710,2016-07-26
71710,2016-07-29
71710,2016-08-06
71710,2016-08-06
71710,2016-08-08
71710,2016-08-09
71710,2016-08-18
71710,2016-08-21
71710,2016-08-31
71710,2016-09-06
71710,2016-09-08
71710,2016-09-09
71710,2016-09-13
71710,2016-09-18
71710,2016-09-19
71710,2016-09-22
71710,2016-09-25
71710,2016-09-28
71710,2016-10-06
71710,2016-10-08
71710,2016-10-30
71710,2016-12-01
71710,2016-12-29
9142652,2016-05-18
9142652,2016-05-23
9142652,2016-06-16
2513651,2015-03-05
2513651,2015-12-06
2513651,2016-08-09
2513651,2016-08-14
2513651,2016-10-05
2513651,2017-02-19
4352939,2015-04-17
4352939,2015-10-26
4352939,2016-04-04
4352939,2016-05-17
4352939,2016-05-23
4352939,2016-06-03
4352939,2016-06-16
4352939,2016-08-01
4352939,2016-08-13
4352939,2016-08-21
4352939,2016-09-08
16961662,2017-02-04
16961662,2017-02-16
16961662,2017-02-20
16961662,2017-02-27
16961662,2017-03-05
16961662,2017-03-08
16961662,2017-03-13
14813860,2016-09-04
14813860,2016-09-11
14813860,2017-01-06
14003733,2016-07-24
14003733,2016-07-31
14364382,2016-08-16
14364382,2016-08-23
14364382,2016-09-04
13445364,2016-06-13
13445364,2016-06-17
13445364,2016-06-21
13445364,2016-06-28
13445364,2016-07-05
13445364,2016-07-12
13445364,2016-07-17
13445364,2016-07-31
13445364,2016-08-29
13445364,2016-09-01
13445364,2016-09-04
13445364,2016-09-10
13445364,2016-09-16
13445364,2016-09-21
13445364,2016-09-23
13445364,2016-09-27
13445364,2016-10-11
13445364,2016-10-24
13445364,2016-11-01
13445364,2016-11-13
13445364,2016-12-27
13445364,2017-02-04
13445364,2017-02-15
13445364,2017-02-22
13445364,2017-02-27
17478737,2017-03-12
6989283,2015-07-23
6989283,2015-08-16
6989283,2015-08-23
6989283,2015-09-17
6989283,2015-10-18
6989283,2016-07-01
6989283,2016-07-17
6989283,2016-08-15
8911577,2016-03-08
8911577,2016-03-27
8911577,2016-04-04
8911577,2016-04-12
8911577,2016-04-19
8911577,2016-04-29
8911577,2016-05-13
8911577,2016-06-16
8911577,2016-07-02
8911577,2016-09-29
8911577,2016-10-28
8911577,2016-11-03
8911577,2016-11-12
8911577,2016-12-28
8911577,2017-02-25
8911577,2017-03-04
8911577,2017-03-13
501372,2012-08-20
501372,2012-10-06
501372,2012-10-15
501372,2013-07-18
501372,2013-08-25
501372,2013-10-24
501372,2014-07-29
501372,2014-08-31
501372,2015-08-24
501372,2016-07-25
501372,2016-08-16
501372,2016-09-01
12282209,2016-05-10
12282209,2016-07-18
14120397,2016-11-03
14120397,2016-11-19
14120397,2016-12-26
14120397,2017-01-05
15031487,2015-04-15
15031487,2015-05-01
15031487,2015-06-21
15031487,2015-07-03
15031487,2015-08-23
15031487,2015-08-29
15031487,2015-09-29
15031487,2015-10-01
15031487,2015-10-04
15031487,2015-10-11
15031487,2015-10-16
15031487,2015-11-04
15031487,2015-11-12
15031487,2015-11-16
15031487,2015-11-27
15031487,2015-12-08
15031487,2015-12-14
15031487,2015-12-27
15031487,2016-01-26
15031487,2016-02-01
15031487,2016-02-06
15031487,2016-02-08
15031487,2016-02-14
15031487,2016-02-24
15031487,2016-04-04
15031487,2016-04-17
15031487,2016-04-28
15031487,2016-05-08
15031487,2016-05-15
15031487,2016-05-20
15031487,2016-05-22
15031487,2016-05-26
15031487,2016-06-05
15031487,2016-06-20
15031487,2016-08-11
15031487,2016-08-21
15031487,2016-09-02
15031487,2016-10-01
15031487,2016-10-28
15031487,2016-11-06
15031487,2016-11-09
15031487,2016-11-13
15031487,2016-11-19
15031487,2016-11-22
15031487,2016-11-28
15031487,2016-12-08
15031487,2016-12-16
15031487,2017-02-19
7684804,2015-10-04
7684804,2015-10-18
7684804,2015-10-26
7684804,2015-11-02
7684804,2015-11-23
7684804,2015-12-13
7684804,2015-12-26
7684804,2015-12-30
7684804,2016-01-03
7684804,2016-01-09
7684804,2016-01-24
7684804,2016-02-06
7684804,2016-02-11
7684804,2016-02-21
7684804,2016-02-29
7684804,2016-03-05
7684804,2016-03-10
7684804,2016-03-13
7684804,2016-03-24
7684804,2016-03-29
7684804,2016-04-04
7684804,2016-04-08
7684804,2016-04-10
7684804,2016-04-14
7684804,2016-04-17
7684804,2016-04-22
7684804,2016-04-25
7684804,2016-04-29
7684804,2016-05-07
7684804,2016-06-17
7684804,2016-07-01
7684804,2016-08-19
7684804,2016-08-21
7684804,2016-08-26
7684804,2016-09-18
7684804,2016-09-27
7684804,2016-10-08
7684804,2016-10-16
7684804,2016-10-24
7684804,2016-10-31
7684804,2016-12-18
7684804,2017-01-04
7684804,2017-01-15
7684804,2017-01-29
7684804,2017-02-12
7684804,2017-02-28
7684804,2017-03-05
12847363,2016-05-31
12847363,2016-06-02
12847363,2016-06-19
12847363,2016-06-24
12847363,2016-06-28
12847363,2016-07-03
12847363,2016-07-11
12847363,2016-07-11
12847363,2016-07-14
12847363,2016-07-22
12847363,2016-07-27
12847363,2016-08-05
12847363,2016-08-07
12847363,2016-08-25
12847363,2016-09-02
12847363,2016-09-08
12847363,2016-09-20
12847363,2016-09-27
12847363,2016-10-06
12847363,2016-10-17
12847363,2016-11-02
12847363,2016-12-26
12847363,2017-01-04
12847363,2017-03-03
10506746,2016-06-15
10506746,2016-07-30
2500151,2014-07-02
2500151,2015-02-17
2500151,2015-03-01
2500151,2015-04-18
2500151,2015-05-08
2500151,2015-08-27
2500151,2016-02-28
2500151,2016-03-08
2500151,2016-03-25
2500151,2016-04-10
2500151,2016-04-23
2500151,2016-07-27
2500151,2016-08-10
2500151,2016-08-15
2500151,2016-08-28
2500151,2016-10-15
2500151,2017-02-26
11203325,2016-03-31
11203325,2016-04-17
11203325,2016-05-22
11203325,2016-06-07
11203325,2017-03-03
5227930,2015-04-05
5227930,2015-04-08
5227930,2015-09-14
5227930,2015-09-22
5227930,2016-06-17
5227930,2016-06-26
5227930,2016-07-23
15864431,2016-11-25
15864431,2016-12-12
15864431,2017-01-16
15864431,2017-01-24
15864431,2017-02-12
6177876,2015-05-23
6177876,2015-06-12
6177876,2015-06-19
6177876,2015-07-28
6177876,2015-08-01
6177876,2015-08-09
6177876,2015-08-19
6177876,2015-08-29
6177876,2015-09-07
6177876,2015-09-12
6177876,2015-09-23
6177876,2015-10-16
6177876,2016-04-05
6177876,2016-04-20
6177876,2016-05-15
6177876,2016-05-25
6177876,2016-06-10
6177876,2016-06-13
6177876,2016-06-23
6177876,2016-06-28
6177876,2016-07-09
6177876,2016-07-15
6177876,2016-07-31
6177876,2016-08-02
6177876,2016-08-08
6177876,2016-08-15
6177876,2016-08-16
6177876,2016-08-23
6177876,2016-08-31
6177876,2016-09-07
6177876,2017-02-22
6177876,2017-03-04
5101774,2016-09-06
940420,2014-04-21
940420,2015-04-15
940420,2015-05-27
940420,2015-06-01
940420,2015-06-22
940420,2015-07-17
940420,2016-04-20
940420,2016-07-01
940420,2016-10-07
3414053,2014-08-06
3414053,2014-08-14
3414053,2014-10-07
3414053,2014-10-20
3414053,2015-03-22
3414053,2015-04-05
3414053,2015-04-17
3414053,2015-04-26
3414053,2015-05-04
3414053,2015-05-09
3414053,2015-05-19
3414053,2015-06-04
3414053,2015-06-14
3414053,2015-07-03
3414053,2015-07-06
3414053,2015-07-14
3414053,2015-08-01
3414053,2015-08-12
3414053,2015-08-27
3414053,2015-09-01
3414053,2015-09-11
3414053,2015-09-25
3414053,2015-10-02
3414053,2015-11-11
3414053,2016-03-04
3414053,2016-04-04
3414053,2016-04-17
3414053,2016-05-01
3414053,2016-05-09
3414053,2016-05-17
3414053,2016-05-24
3414053,2016-06-01
3414053,2016-06-08
3414053,2016-06-18
3414053,2016-06-26
3414053,2016-07-14
3414053,2016-07-23
3414053,2016-07-29
3414053,2016-08-05
3414053,2016-08-13
3414053,2016-08-30
3414053,2016-09-05
3414053,2016-09-10
3414053,2016-09-17
3414053,2016-09-27
3414053,2016-10-13
3414053,2016-10-25
3414053,2016-11-12
6514262,2015-07-08
6514262,2015-07-28
6514262,2015-08-07
6514262,2015-08-09
6514262,2015-08-16
6514262,2015-09-13
6514262,2016-06-19
6514262,2016-07-10
6514262,2016-07-19
6514262,2016-08-05
6514262,2016-08-23
6514262,2016-08-31
6514262,2016-09-18
640379,2012-08-19
640379,2012-10-28
640379,2013-03-26
640379,2013-05-07
640379,2013-05-21
640379,2013-05-28
640379,2013-06-17
640379,2013-08-16
640379,2013-09-15
640379,2013-10-09
640379,2014-04-24
640379,2014-06-02
640379,2014-06-16
640379,2014-09-15
640379,2014-09-28
640379,2014-10-01
640379,2015-06-02
640379,2015-07-30
640379,2015-09-15
640379,2015-09-21
640379,2016-05-03
640379,2016-05-30
640379,2016-09-11
640379,2016-09-30
640379,2016-10-11
640379,2016-10-17
640379,2017-01-01
7611848,2016-06-09
661099,2014-08-14
661099,2014-09-04
661099,2015-08-18
661099,2015-08-20
661099,2016-08-27
918276,2013-11-18
